spp,lon,lat
Lc,-107.33016,51.20792
Lc,-76.37303,42.3922
Lc,-70.77015,46.20557
Lc,-84.00859,39.7656
Lc,-76.25155,43.11729
Lc,-76.42658,40.62207
Lc,-117.22514,49.57607
Lc,-115.24222,54.02863
Lc,-96.86306,50.28562
Lc,-90.96594,46.58053
Lc,-73.88309,40.90008
Lc,-118.21003,49.0449
Lc,-72.11444,45.62421
Lc,-93.1029,44.35534
Lc,-92.47124,42.72551
Lc,-88.36672,41.82851
Lc,-85.36258,42.30857
Lc,-81.79975,43.07912
Lc,-88.3505,41.63193
Lc,-80.64181,43.33135
Lc,-84.22722,33.44134
Lc,-80.19806,43.52153
Lc,-82.03454,41.44739
Lc,-80.27791,37.4214
Lc,-86.57,33.85
Lc,-83.37807,42.49279
Lc,-86.32272,34.67875
Lc,-78.98217,36.05491
Lc,-86.5339,36.1011
Lc,-76.58781,43.92808
Lc,-79.77494,36.23882
Lc,-83.93232,36.24068
Lc,-89.25869,32.20321
Lc,-72.25966,42.46832
Lc,-82.07916,39.48248
Lc,-80.29974,36.15452
Lc,-86.19878,34.38238
Lc,-81.54254,39.86632
Lc,-77.12577,39.08896
Lc,-84.28596,33.80726
Lc,-85.34016,34.99077
Lc,-74.94409,40.32973
Lc,-80.74182,41.07374
Lc,-84.714,35.86882
Lc,-86.44084,41.33741
Lc,-77.93684,39.95049
Lc,-81.8591,40.57838
Lc,-89.97897,38.8159
Lc,-63.29523,46.15357
Lc,-79.43122,42.34354
Lc,-116.55214,48.32015
Lc,-77.23901,38.76653
Lc,-93.58224,47.24884
Lc,-82.10833,40.06468
Lc,-95.48975,39.44972
Lc,-90.86156,44.2669
Lc,-83.88818,43.02214
Lc,-81.58086,41.3118
Lc,-83.26956,42.39558
Lc,-73.00184,42.38152
Lc,-94.15276,45.50554
Lc,-83.76605,42.27289
Lc,-73.0364,41.65465
Lc,-75.70308,45.27491
Lc,-75.20415,40.68792
Lc,-83.6049,42.94754
Lc,-83.33293,42.68697
Lc,-89.76766,42.84524
Lc,-93.36652,44.87855
Lc,-76.58212,42.47554
Lc,-76.34392,42.96869
Lc,-82.9298,42.76532
Lc,-80.31035,43.1248
Lc,-76.19141,44.12363
Lc,-71.46287,43.10796
Lc,-89.08832,38.96371
Lc,-81.57555,41.48389
Lc,-79.944,44.04097
Lc,-78.05296,41.77766
Lc,-73.64182,41.22061
Lc,-89.49877,42.68728
Lc,-77.37156,38.78052
Lc,-79.22089,42.11825
Lc,-76.72656,42.19183
Lc,-75.20213,39.98944
Lc,-89.08999,40.67114
Lc,-95.87787,50.16047
Lc,-81.45738,41.33547
Lc,-82.64072,41.74672
Lc,-82.95384,35.19616
Lc,-82.10212,41.01626
Lc,-84.54275,36.67328
Lc,-81.44649,41.14524
Lc,-79.85811,40.5867
Lc,-85.38207,42.40646
Lc,-83.51518,42.81569
Lc,-89.43666,48.32564
Lc,-73.51025,41.19756
Lc,-83.61247,43.04289
Lc,-73.19048,42.19469
Lc,-68.77637,47.22583
Lc,-92.73869,44.91628
Lc,-75.1714,40.58337
Lc,-79.94795,43.25097
Lc,-81.77566,42.63129
Lc,-87.77358,42.09266
Lc,-72.91112,41.88935
Lc,-73.3048,44.75169
Lc,-110.03315,50.87188
Lc,-73.45136,41.85321
Lc,-73.1668,42.63668
Lc,-106.62769,51.12521
Lc,-79.67353,43.54753
Lc,-83.65564,41.04401
Lc,-70.24446,43.70587
Lc,-83.54935,40.95307
Lc,-92.06032,46.94932
Lc,-77.79711,40.77531
Lc,-66.17121,45.81475
Lc,-78.36988,44.37534
Lc,-76.77025,41.78849
Lc,-80.69414,37.28016
Lc,-88.84928,38.37685
Lc,-78.32222,44.47835
Lc,-96.75895,46.91457
Lc,-76.12997,41.09534
Lc,-88.00253,42.03202
Lc,-77.96819,42.68329
Lc,-102.27195,49.63998
Lc,-77.75499,40.6513
Lc,-78.54289,42.88589
Lc,-81.34861,41.71563
Lc,-73.21748,42.39007
Lc,-88.61269,43.628
Lc,-81.40032,41.53962
Lc,-77.07618,41.04273
Lc,-80.73547,43.4059
Lc,-84.09154,42.17674
Lc,-76.44172,43.36506
Lc,-78.60294,44.23442
Lc,-87.88579,43.17305
Lc,-73.13496,40.78914
Lc,-83.4168,42.90582
Lc,-104.50021,50.94017
Lc,-75.96761,43.41926
Lc,-96.81869,50.44852
Lc,-96.99617,50.57174
Lc,-80.13571,43.64351
Lc,-67.10611,45.94041
Lc,-88.83064,43.27509
Lc,-116.81914,49.66454
Lc,-97.03656,50.40874
Lc,-70.44813,43.60546
Lc,-72.05556,41.77342
Lc,-81.57325,36.2814
Lc,-88.01312,44.44704
Lc,-72.54879,44.23708
Lc,-87.8864,43.3389
Lc,-114.08245,52.34571
Lc,-100.83822,49.5726
Lc,-70.59976,43.40445
Lc,-92.30412,46.67669
Lc,-74.10015,42.08412
Lc,-91.55143,47.95197
Lc,-89.62187,43.1881
Lc,-85.40717,42.808
Lc,-79.788,38.27204
Lc,-69.25666,44.5899
Lc,-72.79011,44.32348
Lc,-73.40189,44.2263
Lc,-71.59677,42.60388
Lc,-75.21633,40.10459
Lc,-85.66882,39.50301
Lc,-77.57316,44.46152
Lc,-77.73072,44.00612
Lc,-96.19394,50.3978
Lc,-80.77792,43.13046
Lc,-81.21004,41.61796
Lc,-79.36889,42.47592
Lc,-73.17431,43.91787
Lc,-71.75457,44.22925
Lc,-111.57929,53.05692
Lc,-103.9274,42.76717
Lc,-102.45691,49.71284
Lc,-104.95261,39.2136
Lc,-105.16854,40.63741
Lc,-80.45691,42.69834
Lc,-93.67779,48.66706
Lc,-81.47722,42.88222
Lc,-80.05914,43.86043
Lc,-79.9869,43.61682
Lc,-81.78111,42.72972
Lc,-81.46392,43.35666
Lc,-74.62821,45.60729
Lc,-80.65688,43.18615
Lc,-78.78247,43.86997
Lc,-78.84992,44.62092
Lc,-72.48808,45.88755
Lc,-71.31249,46.83717
Lc,-93.08648,45.18158
Lc,-74.02183,45.38337
Lc,-96.39792,41.2373
Lc,-100.61523,49.73273
Lc,-100.81318,49.76048
Lc,-71.76915,48.51232
Lc,-98.57802,49.35895
Lc,-80.0756,43.4084
Lc,-82.60025,43.07789
Lc,-122.22322,45.54944
Lc,-83.37248,40.2428
Lc,-79.23934,39.5658
Lc,-72.7889,44.21731
Lc,-76.40392,44.60604
Lc,-92.23016,47.47711
Lc,-95.25721,45.41611
Lc,-73.97399,41.3969
Lc,-83.06896,40.35299
Lc,-83.09263,40.02844
Lc,-70.09931,43.83275
Lc,-76.67803,42.37071
Lc,-73.00071,42.07098
Lc,-79.64504,38.10796
Lc,-87.58058,41.78646
Lc,-72.6845,41.60022
Lc,-72.21552,44.41102
Lc,-72.39173,43.4843
Lc,-76.08987,45.43688
Lc,-100.26068,47.40522
Lc,-84.70924,45.45713
Lc,-72.17265,42.53691
Lc,-92.3618,44.68741
Lc,-74.88915,41.13699
Lc,-79.44091,37.92582
Lc,-73.17484,43.27669
Lc,-84.31998,40.74883
Lc,-74.58536,42.29585
Lc,-86.98381,46.02157
Lc,-73.95312,40.79314
Lc,-78.45858,44.47921
Lc,-78.02095,42.58591
Lc,-91.56789,47.71139
Lc,-76.48153,43.10781
Lc,-77.78339,43.08996
Lc,-100.05263,51.1569
Lc,-74.5854,40.60746
Lc,-75.68626,42.52163
Lc,-74.95705,44.28941
Lc,-87.26539,46.05288
Lc,-75.83202,42.17113
Lc,-89.20878,42.43332
Lc,-65.95682,45.38363
Lc,-78.96085,36.17815
Lc,-111.29996,54.47627
Lc,-84.1464,42.51771
Lc,-73.40166,43.57333
Lc,-81.5783,41.18904
Lc,-112.85973,52.62667
Lc,-72.65922,41.82378
Lc,-72.49752,45.22707
Lc,-87.81416,42.2272
Lc,-93.43337,45.04884
Lc,-77.51744,41.44148
Lc,-114.03445,47.88076
Lc,-66.1811,45.99942
Lc,-66.00643,45.82784
Lc,-88.5176,47.10285
Lc,-71.60655,45.04225
Lc,-71.32354,42.74221
Lc,-72.39434,44.95836
Lc,-113.2769,53.4683
Lc,-73.83717,41.45291
Lc,-65.50367,45.72074
Lc,-72.78894,43.55948
Lc,-75.1855,41.31601
Lc,-111.99619,54.11268
Lc,-74.93306,44.99806
Lc,-71.40253,42.33714
Lc,-74.283,43.4024
Lc,-75.21721,43.76945
Lc,-75.65904,44.57825
